ID,Name,Category,Subcategory,Price,Stock
1,Cream Vanilla(S),Ice Cream,Classic Flavour (100ml Scoop),30,10
2,Kaju Draksh(S),Ice Cream,Classic Flavour (100ml Scoop),45,10
3,Butterscotch(S),Ice Cream,Classic Flavour (100ml Scoop),45,10
4,Orange Fantacy(S),Ice Cream,Classic Flavour (100ml Scoop),45,10
5,Rajbhog(S),Ice Cream,Classic Flavour (100ml Scoop),50,10
6,Nuts Carnival(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
7,American Nuts(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
8,Kaju Gulkand(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
9,Nuts Bonanza(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
10,Roasted Almond(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
11,Kings Delight(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
12,Dryfruit Masti Kesar(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
13,Kesar Pista(S),Ice Cream,Dryfruit Mix Flavour (100ml Scoop),60,10
14,Choco Chips(S),Ice Cream,Chocolate Flavour (100ml Scoop),60,10
15,Dark Chocolate(S),Ice Cream,Chocolate Flavour (100ml Scoop),60,10
16,Cookies Fiesta(S),Ice Cream,Chocolate Flavour (100ml Scoop),60,10
17,Coffee Walnut(S),Ice Cream,Chocolate Flavour (100ml Scoop),60,10
18,Choco Almond(S),Ice Cream,Chocolate Flavour (100ml Scoop),60,10
19,Sitafal(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
20,Tender Coconut(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
21,Mango(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
22,Cranberry(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
23,Dragon Fruit(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
24,Black Jamun(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
25,Red Guava(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
26,Strawberry(S),Ice Cream,Fruit Flavour (100ml Scoop),60,10
